RBLBANK.NS,FEDERALBNK.NS,UNIONBANK.NS,INDIANB.NS,TVSMOTOR.NS,TATAMOTORS.NS,ESCORTS.NS,M&M.NS,TORNTPOWER.NS,PTC.NS,TRIL.NS,POWERGRID.NS,VINYLINDIA.NS,DEEPAKNTR.NS,PIDILITIND.NS,GEECEE.NS,WELENT.NS,VASCONEQ.NS,NITCO.NS,SOBHA.NS,UMANGDAIRY.NS,PARAGMILK.NS,JUBLFOOD.NS,TASTYBITE.NS,VIPIND.NS,SUPREMEIND.NS,TEXMOPIPES.NS,TAINWALCHM.NS,MIRCELECTR.NS,PGEL.NS,SALZERELEC.NS,BEL.NS
307.3932800293,83.1265258789,57.3499984741,131.087020874,479.8763122559,177.6999969482,656.4976196289,597.1384277344,262.621887207,52.0931777954,7.6999998093,134.2114868164,60.4486427307,337.7515869141,1390.3280029297,87.5999984741,82.3080215454,13.75,24.2999992371,405.9444274902,38.3542480469,142.4434204102,1592.6311035156,9997.240234375,468.7947387695,1128.8876953125,16,52.3499984741,7.6999998093,41.2999992371,120.4819107056,112.3293685913
307.740234375,85.3584442139,58.9000015259,130.8898925781,462.7185058594,175.0500030518,654.7054443359,580.6948242188,263.3249816895,52.0059165955,7.9000000954,133.5010070801,61.4747772217,336.8606567383,1386.7073974609,94.6999969482,84.6965332031,13.9499998093,24.0499992371,408.1009216309,39.0417785645,144.3340606689,1567.3623046875,10383.6337890625,471.6244812012,1101.9296875,15.8500003815,52.8499984741,7.5999999046,40.0499992371,122.7075653076,114.4685287476
306.9472045898,87.6895523071,58.75,133.0582580566,449.307800293,172.1999969482,645.794128418,577.3963012695,268.1996459961,52.0059165955,7.8499999046,131.7755584717,60.9150695801,335.1778564453,1388.1953125,97.5999984741,84.4576873779,13.8000001907,23.9500007629,398.6603393555,38.8944473267,142.6921844482,1555.5238037109,10443.4169921875,475.645690918,1135.6489257813,16.0499992371,51.6500015259,7.9499998093,42.8499984741,124.7848358154,113.6128616333
296.4892883301,83.7217025757,57.2000007629,126.8488616943,452.4632873535,172,649.7270507813,571.2422485352,262.5750427246,49.8680915833,7.75,132.2153930664,60.4486427307,356.1635742188,1377.6309814453,97.9000015259,82.8812637329,13.8999996185,23.4500007629,396.50390625,37.9613761902,136.6223144531,1575.6691894531,10338.5966796875,460.7522888184,1121.0518798828,16.0499992371,53.9000015259,8.3000001907,42.9000015259,123.6967391968,107.0527954102
302.0404052734,83.820892334,57.2999992371,126.5531768799,454.2875671387,174.5,652.6145019531,570.8975830078,272.7930603027,49.8680915833,7.5500001907,132.0124053955,60.2620697021,346.4626159668,1360.0732421875,95.3499984741,83.8366775513,14.6000003815,24.1000003815,415.337097168,38.305141449,137.2193450928,1549.7041015625,10309.00390625,452.2134094238,1107.3791503906,15.8500003815,51.7999992371,8.3500003815,41.1500015259,123.0537719727,104.0104370117
305.7576904297,83.2753143311,55.8499984741,125.567565918,443.0461730957,171.5,645.0972290039,571.4391479492,277.5270690918,50.7406768799,7.6500000954,131.4034118652,59.6557235718,352.9464111328,1371.4808349609,95.4499969482,83.8844451904,14.25,23.4500007629,421.5189819336,37.8140487671,133.7863769531,1608.8967285156,9314.1787109375,452.6105651855,1118.3756103516,15.9499998093,59.4500007629,8.3000001907,40.0499992371,125.2794265747,103.5350646973
321.0728149414,81.4897842407,54.7000007629,121.7236633301,446.1030273438,169.0500030518,650.921875,571.0944824219,274.5741577148,50.2607536316,7.75,129.6779937744,58.81615448,348.887878418,1343.2596435547,92.4000015259,83.9322128296,13.8500003815,22.7999992371,424.0588378906,37.5193977356,133.4878540039,1605.8624267578,9587.203125,431.7597961426,1119.2515869141,16.7999992371,55.6500015259,8.1999998093,39.3499984741,126.0707626343,104.0579681396
340.6008605957,82.4817504883,55.2000007629,120.1466751099,440.0879211426,172,668.6448364258,566.1712646484,281.3705749512,50.8279304504,7.8000001907,129.7456665039,59.6090812683,355.2726745605,1310.4754638672,89.8499984741,81.5914764404,13.4499998093,23.1000003815,409.6823425293,37.3229598999,131.5972290039,1624.6649169922,9316.728515625,433.8448791504,1125.8687744141,16.6000003815,52.7000007629,8.1999998093,41.1500015259,119.3443527222,103.4875335693
329.6968994141,81.8865737915,52.75,117.1898269653,453.4000244141,170.6000061035,648.9802856445,565.8759155273,275.9334716797,49.5190582275,7.8000001907,128.0540466309,60.0288581848,358.4403381348,1313.3521728516,86.25,78.7252578735,12.8000001907,23.5,385.1943054199,37.7649383545,131.4977264404,1569.7498779297,9198.861328125,437.4192810059,1101.8811035156,15.4499998093,50.2000007629,8,41.25,119.6411056519,103.7252120972
315.2243041992,83.820892334,52.2999992371,112.8531112671,442.0600891113,167.0500030518,649.0798950195,569.568359375,275.7928466797,48.4283294678,7.9000000954,127.2082519531,58.81615448,353.3424072266,1333.5881347656,83.4000015259,75.8112792969,12.75,22.9500007629,379.1082763672,39.7784156799,128.811050415,1604.7183837891,9233.8515625,432.6534118652,1103.2435302734,15,49.2000007629,7.75,41.25,119.6905670166,103.9153594971
315.1251831055,83.622505188,53.5499992371,115.1200332642,445.5113525391,168.5500030518,655.4522094727,574.0977172852,274.6210632324,48.2538146973,7.5999999046,126.9714508057,60.9150695801,349.8777770996,1306.0611572266,83.25,74.0915527344,12.9499998093,22.75,380.2105102539,42.5776367188,125.6766052246,1614.3682861328,9316.728515625,434.8377685547,1108.1091308594,14.4499998093,50.0499992371,7.4000000954,38.6500015259,116.3273620605,105.7692871094
