STATE BANK OF INDIA,Hindustan Aeronautics Ltd,PANACEA BIOTEC LTD.,HINDUSTAN COPPER LTD.,HAVELLS INDIA LTD.,ITC LTD.,BAYER CROPSCIENCE LTD.,BHARAT ELECTRONICS LTD.,BHARAT HEAVY ELECTRICALS LTD.,GREAT EASTERN SHIPPING CO.LTD.,Tata Consumer Products Ltd,MARUTI SUZUKI INDIA LTD.,COAL INDIA LTD.,MRF LTD.,ENGINEERS INDIA LTD.,INFOSYS LTD.,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Quick Heal Technologies Ltd,STEEL AUTHORITY OF INDIA LTD.,BAJAJ ELECTRICALS LTD.-$,Zee Media Corporation Limited,ATUL AUTO LTD.-$,HINDUSTAN MOTORS LTD.,RUCHI SOYA INDUSTRIES LTD.,BANCO PRODUCTS (INDIA) LTD.-$,JAY SHREE TEA & INDUSTRIES LTD.,IFB AGRO INDUSTRIES LTD.,HINDUJA GLOBAL SOLUTIONS LTD.,ANDHRA CEMENTS LTD.,TILAKNAGAR INDUSTRIES LTD.-$
198.65,769.15,185.6,32.7,704.05,172.2,5701.25,93.5,28.65,217.35,475.0,7137.55,113.15,58599.05,63.25,1132.3,3047.6,159.6,33.6,509.8,4.82,169.35,4.95,585.4,90.15,56.5,336.75,706.75,4.61,17.35
195.65,755.7,185.1,32.25,702.55,170.2,5707.15,91.4,28.3,215.9,469.05,7031.85,113.9,58607.65,60.8,1158.0,3055.7,167.25,33.1,507.5,4.6,170.05,5.01,557.25,90.1,56.4,330.25,726.95,4.53,17.9
200.05,768.6,182.65,32.1,697.7,167.85,5656.6,91.45,27.95,222.8,489.9,7006.5,110.55,58933.65,63.25,1136.1,3147.55,177.85,32.95,518.5,4.74,164.75,5.04,541.75,89.6,57.5,325.15,724.9,4.47,18.65
192.85,745.85,183.55,31.65,683.5,165.05,5642.45,88.35,27.15,224.4,473.95,6885.2,110.6,58350.6,62.3,1108.0,3197.65,170.35,32.8,499.8,4.79,162.25,4.99,522.75,88.85,56.8,325.0,701.45,4.34,17.7
195.8,744.9,180.95,32.0,697.7,165.75,5620.3,91.0,27.2,235.15,476.9,6897.05,111.55,58100.8,61.85,1127.6,3277.15,174.1,33.95,513.15,4.63,160.5,4.99,525.75,89.95,56.5,329.0,690.95,4.28,18.15
204.05,741.6,184.55,32.8,706.4,168.3,5524.5,90.1,28.7,233.8,476.0,6851.6,114.75,60001.0,64.3,1125.55,3301.65,171.0,34.75,517.0,4.46,162.15,5.01,527.05,89.75,56.25,334.2,703.4,4.3,17.95
203.0,717.4,181.05,36.4,709.0,167.5,5492.6,89.9,28.65,223.85,478.1,6849.0,113.55,59942.6,64.4,1137.05,3260.25,172.05,34.55,511.15,4.33,161.9,5.0,523.95,89.5,57.1,335.0,697.35,4.28,18.4
203.85,698.5,181.75,35.2,711.8,167.65,5394.5,92.35,28.5,219.1,465.2,6864.9,115.1,61010.15,65.3,1148.3,3239.4,168.8,35.4,513.15,4.47,162.65,5.03,516.05,88.85,57.45,328.2,690.2,4.34,18.25
203.3,725.05,180.85,34.0,724.1,168.55,5249.85,93.3,28.8,229.4,466.15,6806.25,115.9,62259.85,68.45,1130.15,3372.55,169.95,36.05,501.1,4.69,161.85,4.96,517.4,90.25,57.5,330.3,683.65,4.77,18.0
202.75,717.8,180.2,34.7,725.7,170.7,5387.65,92.55,29.1,224.55,472.5,7108.45,117.75,63601.7,67.4,1122.0,3309.5,168.35,36.55,513.75,4.92,160.8,5.07,543.25,93.15,58.75,336.35,691.3,5.24,17.9
